state,state_code,indicator,nfhs5_urban,nfhs5_rural,nfhs5_total,nfhs4_total
India,,1. Female population age 6 years and above who ever attended school (%),82.5,66.8,71.8,68.8
India,,2. Population below age 15 years (%),23.1,28.1,26.5,28.6
India,,"3. Sex ratio of the total population (females per 1,000 males)",985.0,1037.0,1020.0,991.0
India,,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",924.0,931.0,929.0,919.0
India,,5. Children under age 5 years whose birth was registered with the civil authority (%),93.3,87.5,89.1,79.7
India,,6. Deaths in the last 3 years registered with the civil authority (%),83.2,65.8,70.8,
India,,7. Population living in households with electricity (%),99.1,95.7,96.8,88.0
India,,8. Population living in households with an improved drinking-water source1 (%),98.7,94.6,95.9,94.4
India,,9. Population living in households that use an improved sanitation facility2 (%),81.5,64.9,70.2,48.5
India,,10. Households using clean fuel for cooking3 (%),89.7,43.2,58.6,43.8
India,,11. Households using iodized salt (%),96.9,93.0,94.3,93.1
India,,12. Households with any usual member covered under a health insurance/financing scheme (%),38.1,42.4,41.0,28.7
India,,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.1,12.0,13.6,
India,,14. Women who are literate4 (%),83.0,65.9,71.5,
India,,15. Men who are literate4 (%),89.6,81.5,84.4,
India,,16. Women with 10 or more years of schooling (%),56.3,33.7,41.0,35.7
India,,17. Men with 10 or more years of schooling (%),62.1,43.7,50.2,47.1
India,,18. Women who have ever used the internet (%),51.8,24.6,33.3,
India,,19. Men who have ever used the internet (%),72.5,48.7,57.1,
India,,20. Women age 20-24 years married before age 18 years (%),14.7,27.0,23.3,26.8
India,,21. Men age 25-29 years married before age 21 years (%),11.3,21.1,17.7,20.3
India,,22. Total fertility rate (children per woman),1.6,2.1,2.0,2.2
India,,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,7.9,6.8,7.9
India,,24. Adolescent fertility rate for women age 15-19 years5,27.0,49.0,43.0,51.0
India,,25. Neonatal mortality rate (NNMR),18.0,27.5,24.9,29.5
India,,26. Infant mortality rate (IMR),26.6,38.4,35.2,40.7
India,,27. Under-five mortality rate (U5MR),31.5,45.7,41.9,49.7
India,,28. Any method6 (%),69.3,65.6,66.7,53.5
India,,29. Any modern method6 (%),58.5,55.5,56.5,47.8
India,,30. Female sterilization (%),36.3,38.7,37.9,36.0
India,,31. Male sterilization (%),0.2,0.3,0.3,0.3
India,,32. IUD/PPIUD (%),2.7,1.8,2.1,1.5
India,,33. Pill (%),4.4,5.4,5.1,4.1
India,,34. Condom (%),13.6,7.6,9.5,5.6
India,,35. Injectables (%),0.4,0.6,0.6,0.2
India,,36. Total unmet need7 (%),8.4,9.9,9.4,12.9
India,,37. Unmet need for spacing7 (%),3.6,4.3,4.0,5.7
India,,38. Health worker ever talked to female non-users about family planning (%),23.0,24.3,23.9,17.7
India,,39. Current users ever told about side effects of current method8 (%),64.7,61.5,62.4,46.6
India,,40. Mothers who had an antenatal check-up in the first trimester (%),75.5,67.9,70.0,58.6
India,,41. Mothers who had at least 4 antenatal care visits (%),68.1,54.2,58.1,51.2
India,,42. Mothers whose last birth was protected against neonatal tetanus9 (%),92.7,91.7,92.0,89.0
India,,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.0,40.2,44.1,30.3
India,,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.4,22.7,26.0,14.4
India,,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.9,96.3,95.9,89.3
