State,State-Code,District,Indicator,NFHS-5,NFHS-4
Andaman and Nicobar Island,AN,Nicobars,1. Female population age 6 years and above who ever attended school (%),78.0,77.2
Andaman and Nicobar Island,AN,Nicobars,2. Population below age 15 years (%),23.0,25.4
Andaman and Nicobar Island,AN,Nicobars,"3. Sex ratio of the total population (females per 1,000 males)",973.0,957.0
Andaman and Nicobar Island,AN,Nicobars,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",927.0,1060.0
Andaman and Nicobar Island,AN,Nicobars,5. Children under age 5 years whose birth was registered with the civil authority (%),98.0,99.3
Andaman and Nicobar Island,AN,Nicobars,6. Deaths in the last 3 years registered with the civil authority (%),83.2,
Andaman and Nicobar Island,AN,Nicobars,7. Population living in households with electricity (%),97.9,99.6
Andaman and Nicobar Island,AN,Nicobars,8. Population living in households with an improved drinking-water source1 (%),98.8,99.8
Andaman and Nicobar Island,AN,Nicobars,9. Population living in households that use an improved sanitation facility2 (%),83.5,85.9
Andaman and Nicobar Island,AN,Nicobars,10. Households using clean fuel for cooking3 (%),56.9,39.3
Andaman and Nicobar Island,AN,Nicobars,11. Households using iodized salt (%),99.4,99.7
Andaman and Nicobar Island,AN,Nicobars,12. Households with any usual member covered under a health insurance/financing scheme (%),2.7,4.3
Andaman and Nicobar Island,AN,Nicobars,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.5,
Andaman and Nicobar Island,AN,Nicobars,14. Women who are literate4 (%),87.5,
Andaman and Nicobar Island,AN,Nicobars,15. Women with 10 or more years of schooling (%),53.5,43.7
Andaman and Nicobar Island,AN,Nicobars,16. Women age 20-24 years married before age 18 years (%),11.4,8.3
Andaman and Nicobar Island,AN,Nicobars,17. Births in the 5 years preceding the survey that are third or higher order (%),0.0,3.0
Andaman and Nicobar Island,AN,Nicobars,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,3.8
Andaman and Nicobar Island,AN,Nicobars,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),100.0,96.1
Andaman and Nicobar Island,AN,Nicobars,20. Any method6 (%),65.3,38.0
Andaman and Nicobar Island,AN,Nicobars,21. Any modern method6 (%),57.2,37.8
Andaman and Nicobar Island,AN,Nicobars,22. Female sterilization (%),46.4,35.6
Andaman and Nicobar Island,AN,Nicobars,23. Male sterilization (%),0.0,0.0
Andaman and Nicobar Island,AN,Nicobars,24. IUD/PPIUD (%),2.7,0.0
Andaman and Nicobar Island,AN,Nicobars,25. Pill (%),2.0,1.1
Andaman and Nicobar Island,AN,Nicobars,26. Condom (%),4.9,1.2
Andaman and Nicobar Island,AN,Nicobars,27. Injectables (%),1.2,0.0
