State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Andhra Pradesh,AP,Anantapur,1. Female population age 6 years and above who ever attended school (%),59.5,56.9,,
Andhra Pradesh,AP,Anantapur,2. Population below age 15 years (%),24.3,24.0,,
Andhra Pradesh,AP,Anantapur,"3. Sex ratio of the total population (females per 1,000 males)",1047.0,1000.0,,
Andhra Pradesh,AP,Anantapur,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",881.0,1196.0,,
Andhra Pradesh,AP,Anantapur,5. Children under age 5 years whose birth was registered with the civil authority (%),94.3,89.4,,
Andhra Pradesh,AP,Anantapur,6. Deaths in the last 3 years registered with the civil authority (%),87.2,,,
Andhra Pradesh,AP,Anantapur,7. Population living in households with electricity (%),99.6,99.5,,
Andhra Pradesh,AP,Anantapur,8. Population living in households with an improved drinking-water source1 (%),98.8,99.4,,
Andhra Pradesh,AP,Anantapur,9. Population living in households that use an improved sanitation facility2 (%),71.3,47.5,,
Andhra Pradesh,AP,Anantapur,10. Households using clean fuel for cooking3 (%),86.4,65.9,,
Andhra Pradesh,AP,Anantapur,11. Households using iodized salt (%),88.6,77.8,,
Andhra Pradesh,AP,Anantapur,12. Households with any usual member covered under a health insurance/financing scheme (%),73.2,76.5,,
Andhra Pradesh,AP,Anantapur,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.0,,,
Andhra Pradesh,AP,Anantapur,14. Women who are literate4 (%),63.6,,,
Andhra Pradesh,AP,Anantapur,15. Women with 10 or more years of schooling (%),31.3,30.8,,
Andhra Pradesh,AP,Anantapur,16. Women age 20-24 years married before age 18 years (%),37.3,29.0,,
Andhra Pradesh,AP,Anantapur,17. Births in the 5 years preceding the survey that are third or higher order (%),2.0,0.7,,
Andhra Pradesh,AP,Anantapur,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.6,5.2,,
Andhra Pradesh,AP,Anantapur,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),95.0,61.6,,
Andhra Pradesh,AP,Anantapur,20. Any method6 (%),67.6,65.3,,
Andhra Pradesh,AP,Anantapur,21. Any modern method6 (%),67.6,65.3,,
Andhra Pradesh,AP,Anantapur,22. Female sterilization (%),67.2,65.0,,
Andhra Pradesh,AP,Anantapur,23. Male sterilization (%),0.0,0.0,,
Andhra Pradesh,AP,Anantapur,24. IUD/PPIUD (%),0.0,0.0,,
Andhra Pradesh,AP,Anantapur,25. Pill (%),0.0,0.2,,
Andhra Pradesh,AP,Anantapur,26. Condom (%),0.1,0.0,,
Andhra Pradesh,AP,Anantapur,27. Injectables (%),0.0,0.2,,
Andhra Pradesh,AP,Anantapur,28. Total unmet need7 (%),6.4,5.2,,
Andhra Pradesh,AP,Anantapur,29. Unmet need for spacing7 (%),3.7,3.9,,
Andhra Pradesh,AP,Anantapur,30. Health worker ever talked to female non-users about family planning (%),21.9,26.9,,
Andhra Pradesh,AP,Anantapur,31. Current users ever told about side effects of current method8 (%),36.4,23.4,,
Andhra Pradesh,AP,Anantapur,32. Mothers who had an antenatal check-up in the first trimester (%),80.3,86.2,,
Andhra Pradesh,AP,Anantapur,33. Mothers who had at least 4 antenatal care visits (%),66.6,77.5,,
Andhra Pradesh,AP,Anantapur,34. Mothers whose last birth was protected against neonatal tetanus9 (%),97.5,88.9,,
Andhra Pradesh,AP,Anantapur,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.0,59.6,,
Andhra Pradesh,AP,Anantapur,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.5,32.3,,
Andhra Pradesh,AP,Anantapur,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,93.5,,
Andhra Pradesh,AP,Anantapur,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.1,80.7,,
Andhra Pradesh,AP,Anantapur,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),2682.0,3601.0,,
Andhra Pradesh,AP,Anantapur,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Andhra Pradesh,AP,Anantapur,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.3,,,
Andhra Pradesh,AP,Anantapur,42. Institutional births (%),94.7,89.9,,
Andhra Pradesh,AP,Anantapur,43. Institutional births in public facility (%),60.3,46.9,,
Andhra Pradesh,AP,Anantapur,44. Home births that were conducted by skilled health personnel10 (%),2.8,4.4,,
Andhra Pradesh,AP,Anantapur,45. Births attended by skilled health personnel10 (%),98.3,89.1,,
Andhra Pradesh,AP,Anantapur,46. Births delivered by caesarean section (%),22.2,27.6,,
Andhra Pradesh,AP,Anantapur,47. Births in a private health facility that were delivered by caesarean section (%),37.0,48.9,,
Andhra Pradesh,AP,Anantapur,48. Births in a public health facility that were delivered by caesarean section (%),15.7,14.1,,
