State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Assam,AS,Baksa,1. Female population age 6 years and above who ever attended school (%),74.1,71.9,,
Assam,AS,Baksa,2. Population below age 15 years (%),26.5,28.3,,
Assam,AS,Baksa,"3. Sex ratio of the total population (females per 1,000 males)",1057.0,1046.0,,
Assam,AS,Baksa,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1097.0,968.0,,
Assam,AS,Baksa,5. Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.3,,
Assam,AS,Baksa,6. Deaths in the last 3 years registered with the civil authority (%),50.1,,,
Assam,AS,Baksa,7. Population living in households with electricity (%),98.1,83.6,,
Assam,AS,Baksa,8. Population living in households with an improved drinking-water source1 (%),89.8,83.3,,
Assam,AS,Baksa,9. Population living in households that use an improved sanitation facility2 (%),68.9,57.6,,
Assam,AS,Baksa,10. Households using clean fuel for cooking3 (%),35.2,16.6,,
Assam,AS,Baksa,11. Households using iodized salt (%),98.9,99.2,,
Assam,AS,Baksa,12. Households with any usual member covered under a health insurance/financing scheme (%),69.0,3.7,,
Assam,AS,Baksa,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.3,,,
Assam,AS,Baksa,14. Women who are literate4 (%),74.8,,,
Assam,AS,Baksa,15. Women with 10 or more years of schooling (%),27.8,28.1,,
Assam,AS,Baksa,16. Women age 20-24 years married before age 18 years (%),24.9,27.4,,
Assam,AS,Baksa,17. Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.8,,
Assam,AS,Baksa,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.3,11.1,,
Assam,AS,Baksa,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),67.0,40.5,,
Assam,AS,Baksa,20. Any method6 (%),59.2,58.1,,
Assam,AS,Baksa,21. Any modern method6 (%),47.3,38.5,,
Assam,AS,Baksa,22. Female sterilization (%),7.1,8.0,,
Assam,AS,Baksa,23. Male sterilization (%),0.0,0.0,,
Assam,AS,Baksa,24. IUD/PPIUD (%),3.3,4.0,,
Assam,AS,Baksa,25. Pill (%),33.5,24.4,,
Assam,AS,Baksa,26. Condom (%),2.7,1.5,,
Assam,AS,Baksa,27. Injectables (%),0.0,0.0,,
Assam,AS,Baksa,28. Total unmet need7 (%),12.5,12.4,,
Assam,AS,Baksa,29. Unmet need for spacing7 (%),5.7,6.8,,
Assam,AS,Baksa,30. Health worker ever talked to female non-users about family planning (%),24.8,22.8,,
Assam,AS,Baksa,31. Current users ever told about side effects of current method8 (%),76.2,78.4,,
Assam,AS,Baksa,32. Mothers who had an antenatal check-up in the first trimester (%),61.1,60.6,,
Assam,AS,Baksa,33. Mothers who had at least 4 antenatal care visits (%),56.0,49.8,,
Assam,AS,Baksa,34. Mothers whose last birth was protected against neonatal tetanus9 (%),95.0,92.6,,
Assam,AS,Baksa,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.2,39.7,,
Assam,AS,Baksa,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.2,0.8,,
Assam,AS,Baksa,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.8,99.1,,
Assam,AS,Baksa,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),65.0,70.1,,
Assam,AS,Baksa,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),7312.0,3614.0,,
Assam,AS,Baksa,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.4,7.7,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Assam,AS,Baksa,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.9,,,
Assam,AS,Baksa,42. Institutional births (%),89.9,87.8,,
Assam,AS,Baksa,43. Institutional births in public facility (%),82.2,77.5,,
Assam,AS,Baksa,44. Home births that were conducted by skilled health personnel10 (%),4.6,1.5,,
Assam,AS,Baksa,45. Births attended by skilled health personnel10 (%),92.1,89.3,,
Assam,AS,Baksa,46. Births delivered by caesarean section (%),17.6,18.7,,
Assam,AS,Baksa,47. Births in a private health facility that were delivered by caesarean section (%),81.7,82.6,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Assam,AS,Baksa,48. Births in a public health facility that were delivered by caesarean section (%),13.8,13.2,,
Assam,AS,Baksa,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),70.5,59.1,,
Assam,AS,Baksa,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),67.3,64.9,,Based on 25-49 unweighted cases
Assam,AS,Baksa,51. Children age 12-23 months who have received BCG (%),93.6,91.6,,
Assam,AS,Baksa,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),78.3,64.8,,
Assam,AS,Baksa,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2,82.6,,
Assam,AS,Baksa,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.9,81.3,,
Assam,AS,Baksa,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.6,,,
Assam,AS,Baksa,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),53.8,,,
Assam,AS,Baksa,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.3,60.2,,
Assam,AS,Baksa,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),54.5,54.2,,
Assam,AS,Baksa,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.2,,
Assam,AS,Baksa,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.8,,
Assam,AS,Baksa,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.8,2.7,,
Assam,AS,Baksa,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Assam,AS,Baksa,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Assam,AS,Baksa,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Assam,AS,Baksa,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,1.3,,
Assam,AS,Baksa,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),59.0,42.2,,Based on 25-49 unweighted cases
Assam,AS,Baksa,67. Children under age 3 years breastfed within one hour of birth15 (%),34.9,74.3,,
Assam,AS,Baksa,68. Children under age 6 months exclusively breastfed16 (%),60.6,62.9,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Assam,AS,Baksa,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),69.4,,Based on 25-49 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Assam,AS,Baksa,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",12.6,12.8,,
Assam,AS,Baksa,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Assam,AS,Baksa,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",14.0,12.6,,
Assam,AS,Baksa,73. Children under 5 years who are stunted (height-for-age)18 (%),41.2,32.4,,
Assam,AS,Baksa,74. Children under 5 years who are wasted (weight-for-height)18 (%),17.0,10.5,,
Assam,AS,Baksa,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),6.2,2.7,,
Assam,AS,Baksa,76. Children under 5 years who are underweight (weight-for-age)18 (%),34.0,22.4,,
Assam,AS,Baksa,77. Children under 5 years who are overweight (weight-for-height)20 (%),8.6,2.3,,
Assam,AS,Baksa,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),15.1,17.8,,
Assam,AS,Baksa,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),18.8,15.2,,
Assam,AS,Baksa,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),66.9,,,
Assam,AS,Baksa,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),78.6,39.0,,
Assam,AS,Baksa,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),73.8,53.6,,
Assam,AS,Baksa,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),65.3,46.8,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Assam,AS,Baksa,84. All women age 15-49 years who are anaemic22 (%),73.6,53.4,,
Assam,AS,Baksa,85. All women age 15-19 years who are anaemic22 (%),76.6,48.3,,
Assam,AS,Baksa,86. Blood sugar level - high (141-160 mg/dl)23 (%),8.7,,,
