State,State-Code,District,Indicator,NFHS-5,NFHS-4
Bihar,BR,Araria,1. Female population age 6 years and above who ever attended school (%),53.0,52.5
Bihar,BR,Araria,2. Population below age 15 years (%),40.5,42.7
Bihar,BR,Araria,"3. Sex ratio of the total population (females per 1,000 males)",1094.0,1110.0
Bihar,BR,Araria,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",885.0,969.0
Bihar,BR,Araria,5. Children under age 5 years whose birth was registered with the civil authority (%),59.8,50.5
Bihar,BR,Araria,6. Deaths in the last 3 years registered with the civil authority (%),25.5,
Bihar,BR,Araria,7. Population living in households with electricity (%),96.2,49.9
Bihar,BR,Araria,8. Population living in households with an improved drinking-water source1 (%),100.0,99.8
Bihar,BR,Araria,9. Population living in households that use an improved sanitation facility2 (%),32.2,13.8
Bihar,BR,Araria,10. Households using clean fuel for cooking3 (%),15.2,5.2
Bihar,BR,Araria,11. Households using iodized salt (%),93.7,95.3
Bihar,BR,Araria,12. Households with any usual member covered under a health insurance/financing scheme (%),19.5,5.4
Bihar,BR,Araria,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.8,
Bihar,BR,Araria,14. Women who are literate4 (%),43.7,
Bihar,BR,Araria,15. Women with 10 or more years of schooling (%),16.8,12.9
Bihar,BR,Araria,16. Women age 20-24 years married before age 18 years (%),52.0,48.9
Bihar,BR,Araria,17. Births in the 5 years preceding the survey that are third or higher order (%),6.8,6.1
Bihar,BR,Araria,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.3,11.2
Bihar,BR,Araria,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),36.4,17.2
Bihar,BR,Araria,20. Any method6 (%),46.0,29.9
Bihar,BR,Araria,21. Any modern method6 (%),42.8,29.1
Bihar,BR,Araria,22. Female sterilization (%),36.2,26.2
Bihar,BR,Araria,23. Male sterilization (%),0.0,0.0
Bihar,BR,Araria,24. IUD/PPIUD (%),0.1,0.2
Bihar,BR,Araria,25. Pill (%),0.9,1.3
Bihar,BR,Araria,26. Condom (%),1.7,0.8
Bihar,BR,Araria,27. Injectables (%),3.2,0.4
Bihar,BR,Araria,28. Total unmet need7 (%),15.9,19.3
Bihar,BR,Araria,29. Unmet need for spacing7 (%),6.4,9.0
Bihar,BR,Araria,30. Health worker ever talked to female non-users about family planning (%),11.0,20.0
Bihar,BR,Araria,31. Current users ever told about side effects of current method8 (%),33.9,36.9
Bihar,BR,Araria,32. Mothers who had an antenatal check-up in the first trimester (%),41.6,36.9
Bihar,BR,Araria,33. Mothers who had at least 4 antenatal care visits (%),25.8,16.2
Bihar,BR,Araria,34. Mothers whose last birth was protected against neonatal tetanus9 (%),86.4,88.7
Bihar,BR,Araria,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.6,7.9
Bihar,BR,Araria,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.6,1.7
Bihar,BR,Araria,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.6,78.8
