State,State-Code,District,Indicator,NFHS-5,NFHS-4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,1. Female population age 6 years and above who ever attended school (%),70.8,68.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,2. Population below age 15 years (%),26.8,28.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,"3. Sex ratio of the total population (females per 1,000 males)",817.0,858.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",822.0,1006.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,5. Children under age 5 years whose birth was registered with the civil authority (%),98.3,93.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,6. Deaths in the last 3 years registered with the civil authority (%),96.1,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,7. Population living in households with electricity (%),99.7,97.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,8. Population living in households with an improved drinking-water source1 (%),94.8,92.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,9. Population living in households that use an improved sanitation facility2 (%),63.1,32.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,10. Households using clean fuel for cooking3 (%),74.3,56.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,11. Households using iodized salt (%),85.0,70.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,12. Households with any usual member covered under a health insurance/financing scheme (%),58.8,30.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.6,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,14. Women who are literate4 (%),72.8,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,15. Women with 10 or more years of schooling (%),31.5,35.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,16. Women age 20-24 years married before age 18 years (%),30.0,27.5
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,17. Births in the 5 years preceding the survey that are third or higher order (%),2.1,0.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.5,10.3
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),96.3,57.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,20. Any method6 (%),72.8,38.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,21. Any modern method6 (%),64.3,37.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,22. Female sterilization (%),45.0,31.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,23. Male sterilization (%),0.2,0.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,24. IUD/PPIUD (%),2.6,1.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,25. Pill (%),3.0,1.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,26. Condom (%),12.4,3.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,27. Injectables (%),1.1,0.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,28. Total unmet need7 (%),9.0,19.3
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,29. Unmet need for spacing7 (%),3.4,10.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,30. Health worker ever talked to female non-users about family planning (%),26.4,13.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,31. Current users ever told about side effects of current method8 (%),71.2,45.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,32. Mothers who had an antenatal check-up in the first trimester (%),82.0,63.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,33. Mothers who had at least 4 antenatal care visits (%),90.9,75.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,34. Mothers whose last birth was protected against neonatal tetanus9 (%),85.8,86.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),65.1,43.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40.0,26.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,91.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),502.0,471.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,7.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,42. Institutional births (%),96.3,88.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,43. Institutional births in public facility (%),75.8,66.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,44. Home births that were conducted by skilled health personnel10 (%),1.8,1.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,45. Births attended by skilled health personnel10 (%),98.1,89.5
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,46. Births delivered by caesarean section (%),21.9,16.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,47. Births in a private health facility that were delivered by caesarean section (%),45.0,38.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,48. Births in a public health facility that were delivered by caesarean section (%),16.7,12.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),98.5,57.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,51. Children age 12-23 months who have received BCG (%),100.0,88.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),100.0,58.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),100.0,73.3
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,81.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),49.2,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),3.8,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),96.9,52.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),87.7,59.3
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.3,90.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.7,9.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,4.2
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,1.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,67. Children under age 3 years breastfed within one hour of birth15 (%),26.6,47.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,68. Children under age 6 months exclusively breastfed16 (%),88.8,72.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",9.6,0.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",9.2,0.0
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,73. Children under 5 years who are stunted (height-for-age)18 (%),42.4,41.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,74. Children under 5 years who are wasted (weight-for-height)18 (%),20.9,27.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),3.3,11.4
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,76. Children under 5 years who are underweight (weight-for-age)18 (%),42.1,38.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,77. Children under 5 years who are overweight (weight-for-height)20 (%),1.5,4.5
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),27.0,28.7
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),23.0,19.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),43.7,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),74.8,84.6
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),64.5,80.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),62.1,67.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,84. All women age 15-49 years who are anaemic22 (%),64.4,79.5
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,85. All women age 15-19 years who are anaemic22 (%),64.3,81.9
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,86. Blood sugar level - high (141-160 mg/dl)23 (%),7.1,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,87. Blood sugar level - very high (>160 mg/dl)23 (%),5.3,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),13.4,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,89. Blood sugar level - high (141-160 mg/dl)23 (%),7.9,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,90. Blood sugar level - very high (>160 mg/dl)23 (%),7.9,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),16.4,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),6.8,
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.9,
