State,State-Code,District,Indicator,NFHS-5,NFHS-4
Gujarat,GJ,Ahmedabad,1. Female population age 6 years and above who ever attended school (%),79.8,
Gujarat,GJ,Ahmedabad,2. Population below age 15 years (%),22.1,
Gujarat,GJ,Ahmedabad,"3. Sex ratio of the total population (females per 1,000 males)",928.0,
Gujarat,GJ,Ahmedabad,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",994.0,
Gujarat,GJ,Ahmedabad,5. Children under age 5 years whose birth was registered with the civil authority (%),98.4,
Gujarat,GJ,Ahmedabad,6. Deaths in the last 3 years registered with the civil authority (%),96.1,
Gujarat,GJ,Ahmedabad,7. Population living in households with electricity (%),99.5,
Gujarat,GJ,Ahmedabad,8. Population living in households with an improved drinking-water source1 (%),98.7,
Gujarat,GJ,Ahmedabad,9. Population living in households that use an improved sanitation facility2 (%),86.4,
Gujarat,GJ,Ahmedabad,10. Households using clean fuel for cooking3 (%),89.7,
Gujarat,GJ,Ahmedabad,11. Households using iodized salt (%),98.7,
Gujarat,GJ,Ahmedabad,12. Households with any usual member covered under a health insurance/financing scheme (%),36.2,
Gujarat,GJ,Ahmedabad,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.5,
Gujarat,GJ,Ahmedabad,14. Women who are literate4 (%),81.5,
Gujarat,GJ,Ahmedabad,15. Women with 10 or more years of schooling (%),42.7,
Gujarat,GJ,Ahmedabad,16. Women age 20-24 years married before age 18 years (%),17.5,
Gujarat,GJ,Ahmedabad,17. Births in the 5 years preceding the survey that are third or higher order (%),0.5,
Gujarat,GJ,Ahmedabad,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4,
Gujarat,GJ,Ahmedabad,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),66.4,
Gujarat,GJ,Ahmedabad,20. Any method6 (%),79.0,
Gujarat,GJ,Ahmedabad,21. Any modern method6 (%),58.2,
Gujarat,GJ,Ahmedabad,22. Female sterilization (%),30.8,
Gujarat,GJ,Ahmedabad,23. Male sterilization (%),0.0,
Gujarat,GJ,Ahmedabad,24. IUD/PPIUD (%),3.3,
Gujarat,GJ,Ahmedabad,25. Pill (%),3.8,
Gujarat,GJ,Ahmedabad,26. Condom (%),19.7,
Gujarat,GJ,Ahmedabad,27. Injectables (%),0.1,
Gujarat,GJ,Ahmedabad,28. Total unmet need7 (%),6.5,
Gujarat,GJ,Ahmedabad,29. Unmet need for spacing7 (%),3.4,
Gujarat,GJ,Ahmedabad,30. Health worker ever talked to female non-users about family planning (%),36.2,
Gujarat,GJ,Ahmedabad,31. Current users ever told about side effects of current method8 (%),76.5,
Gujarat,GJ,Ahmedabad,32. Mothers who had an antenatal check-up in the first trimester (%),73.5,
Gujarat,GJ,Ahmedabad,33. Mothers who had at least 4 antenatal care visits (%),77.8,
Gujarat,GJ,Ahmedabad,34. Mothers whose last birth was protected against neonatal tetanus9 (%),85.9,
Gujarat,GJ,Ahmedabad,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.0,
Gujarat,GJ,Ahmedabad,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),54.3,
Gujarat,GJ,Ahmedabad,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,
Gujarat,GJ,Ahmedabad,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Gujarat,GJ,Ahmedabad,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),1279.0,
Gujarat,GJ,Ahmedabad,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,
Gujarat,GJ,Ahmedabad,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Gujarat,GJ,Ahmedabad,42. Institutional births (%),94.5,
Gujarat,GJ,Ahmedabad,43. Institutional births in public facility (%),46.7,
Gujarat,GJ,Ahmedabad,44. Home births that were conducted by skilled health personnel10 (%),1.2,
Gujarat,GJ,Ahmedabad,45. Births attended by skilled health personnel10 (%),95.3,
Gujarat,GJ,Ahmedabad,46. Births delivered by caesarean section (%),32.4,
Gujarat,GJ,Ahmedabad,47. Births in a private health facility that were delivered by caesarean section (%),43.8,
Gujarat,GJ,Ahmedabad,48. Births in a public health facility that were delivered by caesarean section (%),24.5,
Gujarat,GJ,Ahmedabad,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),65.2,
Gujarat,GJ,Ahmedabad,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),76.5,
Gujarat,GJ,Ahmedabad,51. Children age 12-23 months who have received BCG (%),93.0,
Gujarat,GJ,Ahmedabad,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),69.1,
Gujarat,GJ,Ahmedabad,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.0,
Gujarat,GJ,Ahmedabad,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),82.7,
Gujarat,GJ,Ahmedabad,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),13.2,
Gujarat,GJ,Ahmedabad,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),2.2,
Gujarat,GJ,Ahmedabad,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.1,
Gujarat,GJ,Ahmedabad,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),85.1,
Gujarat,GJ,Ahmedabad,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),89.4,
Gujarat,GJ,Ahmedabad,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),10.6,
Gujarat,GJ,Ahmedabad,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.8,
Gujarat,GJ,Ahmedabad,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,
Gujarat,GJ,Ahmedabad,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,
Gujarat,GJ,Ahmedabad,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Gujarat,GJ,Ahmedabad,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.0,
Gujarat,GJ,Ahmedabad,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Gujarat,GJ,Ahmedabad,67. Children under age 3 years breastfed within one hour of birth15 (%),33.9,
Gujarat,GJ,Ahmedabad,68. Children under age 6 months exclusively breastfed16 (%),,
Gujarat,GJ,Ahmedabad,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Gujarat,GJ,Ahmedabad,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",3.6,
Gujarat,GJ,Ahmedabad,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,
Gujarat,GJ,Ahmedabad,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",3.0,
Gujarat,GJ,Ahmedabad,73. Children under 5 years who are stunted (height-for-age)18 (%),35.5,
Gujarat,GJ,Ahmedabad,74. Children under 5 years who are wasted (weight-for-height)18 (%),17.5,
Gujarat,GJ,Ahmedabad,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),7.4,
Gujarat,GJ,Ahmedabad,76. Children under 5 years who are underweight (weight-for-age)18 (%),34.0,
Gujarat,GJ,Ahmedabad,77. Children under 5 years who are overweight (weight-for-height)20 (%),4.6,
Gujarat,GJ,Ahmedabad,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),19.4,
Gujarat,GJ,Ahmedabad,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),30.1,
Gujarat,GJ,Ahmedabad,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),38.0,
Gujarat,GJ,Ahmedabad,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),72.0,
Gujarat,GJ,Ahmedabad,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),63.5,
Gujarat,GJ,Ahmedabad,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),70.1,
Gujarat,GJ,Ahmedabad,84. All women age 15-49 years who are anaemic22 (%),63.7,
Gujarat,GJ,Ahmedabad,85. All women age 15-19 years who are anaemic22 (%),67.3,
Gujarat,GJ,Ahmedabad,86. Blood sugar level - high (141-160 mg/dl)23 (%),10.2,
Gujarat,GJ,Ahmedabad,87. Blood sugar level - very high (>160 mg/dl)23 (%),8.3,
Gujarat,GJ,Ahmedabad,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),20.3,
Gujarat,GJ,Ahmedabad,89. Blood sugar level - high (141-160 mg/dl)23 (%),12.0,
Gujarat,GJ,Ahmedabad,90. Blood sugar level - very high (>160 mg/dl)23 (%),7.2,
Gujarat,GJ,Ahmedabad,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),20.1,
Gujarat,GJ,Ahmedabad,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.4,
Gujarat,GJ,Ahmedabad,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,
