State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Himachal Pradesh,HP,Bilaspur,1. Female population age 6 years and above who ever attended school (%),81.3,78.6,,
Himachal Pradesh,HP,Bilaspur,2. Population below age 15 years (%),22.1,25.8,,
Himachal Pradesh,HP,Bilaspur,"3. Sex ratio of the total population (females per 1,000 males)",1096.0,1086.0,,
Himachal Pradesh,HP,Bilaspur,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",875.0,915.0,,
Himachal Pradesh,HP,Bilaspur,5. Children under age 5 years whose birth was registered with the civil authority (%),96.9,95.5,,
Himachal Pradesh,HP,Bilaspur,6. Deaths in the last 3 years registered with the civil authority (%),93.4,,,
Himachal Pradesh,HP,Bilaspur,7. Population living in households with electricity (%),100.0,99.9,,
Himachal Pradesh,HP,Bilaspur,8. Population living in households with an improved drinking-water source1 (%),92.9,81.2,,
Himachal Pradesh,HP,Bilaspur,9. Population living in households that use an improved sanitation facility2 (%),80.8,71.9,,
Himachal Pradesh,HP,Bilaspur,10. Households using clean fuel for cooking3 (%),35.8,19.1,,
Himachal Pradesh,HP,Bilaspur,11. Households using iodized salt (%),98.7,99.6,,
Himachal Pradesh,HP,Bilaspur,12. Households with any usual member covered under a health insurance/financing scheme (%),35.4,18.4,,
Himachal Pradesh,HP,Bilaspur,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.5,,,
Himachal Pradesh,HP,Bilaspur,14. Women who are literate4 (%),91.2,,,
Himachal Pradesh,HP,Bilaspur,15. Women with 10 or more years of schooling (%),64.2,60.5,,
Himachal Pradesh,HP,Bilaspur,16. Women age 20-24 years married before age 18 years (%),10.0,13.6,,
Himachal Pradesh,HP,Bilaspur,17. Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.4,,
Himachal Pradesh,HP,Bilaspur,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,1.5,,
Himachal Pradesh,HP,Bilaspur,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),94.4,89.4,,
Himachal Pradesh,HP,Bilaspur,20. Any method6 (%),80.8,52.1,,
Himachal Pradesh,HP,Bilaspur,21. Any modern method6 (%),70.3,50.2,,
Himachal Pradesh,HP,Bilaspur,22. Female sterilization (%),53.1,39.7,,
Himachal Pradesh,HP,Bilaspur,23. Male sterilization (%),2.5,1.0,,
Himachal Pradesh,HP,Bilaspur,24. IUD/PPIUD (%),0.4,0.3,,
Himachal Pradesh,HP,Bilaspur,25. Pill (%),1.5,1.7,,
Himachal Pradesh,HP,Bilaspur,26. Condom (%),12.4,7.3,,
Himachal Pradesh,HP,Bilaspur,27. Injectables (%),0.2,0.3,,
Himachal Pradesh,HP,Bilaspur,28. Total unmet need7 (%),7.2,16.4,,
Himachal Pradesh,HP,Bilaspur,29. Unmet need for spacing7 (%),2.4,3.5,,
Himachal Pradesh,HP,Bilaspur,30. Health worker ever talked to female non-users about family planning (%),25.0,15.1,,
Himachal Pradesh,HP,Bilaspur,31. Current users ever told about side effects of current method8 (%),49.8,35.5,,
Himachal Pradesh,HP,Bilaspur,32. Mothers who had an antenatal check-up in the first trimester (%),76.4,71.8,,
Himachal Pradesh,HP,Bilaspur,33. Mothers who had at least 4 antenatal care visits (%),81.4,58.8,,
Himachal Pradesh,HP,Bilaspur,34. Mothers whose last birth was protected against neonatal tetanus9 (%),92.4,75.4,,
Himachal Pradesh,HP,Bilaspur,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.4,55.4,,
Himachal Pradesh,HP,Bilaspur,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),48.9,29.7,,
Himachal Pradesh,HP,Bilaspur,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,93.0,,
Himachal Pradesh,HP,Bilaspur,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,75.8,,
Himachal Pradesh,HP,Bilaspur,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3360.0,4743.0,,
Himachal Pradesh,HP,Bilaspur,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,3.1,Percentage not shown; based on fewer than 25 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0,,,
Himachal Pradesh,HP,Bilaspur,42. Institutional births (%),91.7,82.9,,
Himachal Pradesh,HP,Bilaspur,43. Institutional births in public facility (%),72.1,58.4,,
Himachal Pradesh,HP,Bilaspur,44. Home births that were conducted by skilled health personnel10 (%),0.5,2.3,,
Himachal Pradesh,HP,Bilaspur,45. Births attended by skilled health personnel10 (%),87.6,84.1,,
Himachal Pradesh,HP,Bilaspur,46. Births delivered by caesarean section (%),19.2,15.7,,
Himachal Pradesh,HP,Bilaspur,47. Births in a private health facility that were delivered by caesarean section (%),26.2,29.8,Based on 25-49 unweighted cases,
Himachal Pradesh,HP,Bilaspur,48. Births in a public health facility that were delivered by caesarean section (%),19.5,14.4,,
Himachal Pradesh,HP,Bilaspur,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),100.0,58.3,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),100.0,72.0,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,51. Children age 12-23 months who have received BCG (%),100.0,92.7,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),100.0,71.0,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),100.0,81.3,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,86.1,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),57.9,,Based on 25-49 unweighted cases,
Himachal Pradesh,HP,Bilaspur,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),90.3,,Based on 25-49 unweighted cases,
Himachal Pradesh,HP,Bilaspur,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),100.0,55.5,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.4,81.5,,
Himachal Pradesh,HP,Bilaspur,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,95.4,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,4.6,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Himachal Pradesh,HP,Bilaspur,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.3,9.3,,
Himachal Pradesh,HP,Bilaspur,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
