State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Jammu and Kashmir,JK,Anantnag,1. Female population age 6 years and above who ever attended school (%),65.5,62.5,,
Jammu and Kashmir,JK,Anantnag,2. Population below age 15 years (%),22.4,26.1,,
Jammu and Kashmir,JK,Anantnag,"3. Sex ratio of the total population (females per 1,000 males)",974.0,999.0,,
Jammu and Kashmir,JK,Anantnag,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1177.0,860.0,,
Jammu and Kashmir,JK,Anantnag,5. Children under age 5 years whose birth was registered with the civil authority (%),98.6,66.0,,
Jammu and Kashmir,JK,Anantnag,6. Deaths in the last 3 years registered with the civil authority (%),86.8,,,
Jammu and Kashmir,JK,Anantnag,7. Population living in households with electricity (%),98.7,96.6,,
Jammu and Kashmir,JK,Anantnag,8. Population living in households with an improved drinking-water source1 (%),99.3,95.8,,
Jammu and Kashmir,JK,Anantnag,9. Population living in households that use an improved sanitation facility2 (%),84.7,56.9,,
Jammu and Kashmir,JK,Anantnag,10. Households using clean fuel for cooking3 (%),76.5,70.0,,
Jammu and Kashmir,JK,Anantnag,11. Households using iodized salt (%),98.3,97.4,,
Jammu and Kashmir,JK,Anantnag,12. Households with any usual member covered under a health insurance/financing scheme (%),7.3,2.6,,
Jammu and Kashmir,JK,Anantnag,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,,,
Jammu and Kashmir,JK,Anantnag,14. Women who are literate4 (%),74.7,,,
Jammu and Kashmir,JK,Anantnag,15. Women with 10 or more years of schooling (%),52.8,30.9,,
Jammu and Kashmir,JK,Anantnag,16. Women age 20-24 years married before age 18 years (%),2.5,4.5,,
Jammu and Kashmir,JK,Anantnag,17. Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.1,,
Jammu and Kashmir,JK,Anantnag,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.7,1.1,,
Jammu and Kashmir,JK,Anantnag,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),74.2,65.6,,
Jammu and Kashmir,JK,Anantnag,20. Any method6 (%),58.3,54.0,,
Jammu and Kashmir,JK,Anantnag,21. Any modern method6 (%),57.3,37.9,,
Jammu and Kashmir,JK,Anantnag,22. Female sterilization (%),15.3,15.2,,
Jammu and Kashmir,JK,Anantnag,23. Male sterilization (%),0.0,0.4,,
Jammu and Kashmir,JK,Anantnag,24. IUD/PPIUD (%),4.8,2.4,,
Jammu and Kashmir,JK,Anantnag,25. Pill (%),8.1,12.1,,
Jammu and Kashmir,JK,Anantnag,26. Condom (%),20.2,7.6,,
Jammu and Kashmir,JK,Anantnag,27. Injectables (%),7.5,0.3,,
Jammu and Kashmir,JK,Anantnag,28. Total unmet need7 (%),7.8,12.2,,
Jammu and Kashmir,JK,Anantnag,29. Unmet need for spacing7 (%),4.3,4.7,,
Jammu and Kashmir,JK,Anantnag,30. Health worker ever talked to female non-users about family planning (%),18.8,3.4,,
Jammu and Kashmir,JK,Anantnag,31. Current users ever told about side effects of current method8 (%),72.0,23.4,,
Jammu and Kashmir,JK,Anantnag,32. Mothers who had an antenatal check-up in the first trimester (%),82.0,76.7,,
Jammu and Kashmir,JK,Anantnag,33. Mothers who had at least 4 antenatal care visits (%),80.9,82.5,,
Jammu and Kashmir,JK,Anantnag,34. Mothers whose last birth was protected against neonatal tetanus9 (%),97.8,89.0,,
Jammu and Kashmir,JK,Anantnag,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),32.5,11.7,,
Jammu and Kashmir,JK,Anantnag,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.9,6.6,,
Jammu and Kashmir,JK,Anantnag,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,83.1,,
Jammu and Kashmir,JK,Anantnag,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,82.1,,
Jammu and Kashmir,JK,Anantnag,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),6058.0,3568.0,,
Jammu and Kashmir,JK,Anantnag,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Jammu and Kashmir,JK,Anantnag,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.3,,,
Jammu and Kashmir,JK,Anantnag,42. Institutional births (%),90.5,91.2,,
Jammu and Kashmir,JK,Anantnag,43. Institutional births in public facility (%),86.7,86.6,,
Jammu and Kashmir,JK,Anantnag,44. Home births that were conducted by skilled health personnel10 (%),8.1,2.4,,
Jammu and Kashmir,JK,Anantnag,45. Births attended by skilled health personnel10 (%),98.1,93.3,,
Jammu and Kashmir,JK,Anantnag,46. Births delivered by caesarean section (%),51.3,32.1,,
Jammu and Kashmir,JK,Anantnag,47. Births in a private health facility that were delivered by caesarean section (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Jammu and Kashmir,JK,Anantnag,48. Births in a public health facility that were delivered by caesarean section (%),55.2,32.6,,
Jammu and Kashmir,JK,Anantnag,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),83.3,72.7,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),100.0,83.0,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,51. Children age 12-23 months who have received BCG (%),88.4,98.7,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),85.5,82.5,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.5,88.9,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.5,92.0,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),51.9,,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),12.5,,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.5,65.0,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),88.3,70.1,,
Jammu and Kashmir,JK,Anantnag,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0,Based on 25-49 unweighted cases,
Jammu and Kashmir,JK,Anantnag,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,6.3,,
Jammu and Kashmir,JK,Anantnag,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Jammu and Kashmir,JK,Anantnag,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Jammu and Kashmir,JK,Anantnag,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Jammu and Kashmir,JK,Anantnag,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.7,4.1,,
Jammu and Kashmir,JK,Anantnag,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),82.3,80.9,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
Jammu and Kashmir,JK,Anantnag,67. Children under age 3 years breastfed within one hour of birth15 (%),51.1,45.9,,
Jammu and Kashmir,JK,Anantnag,68. Children under age 6 months exclusively breastfed16 (%),48.1,,Based on 25-49 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
