State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Karnataka,KA,Bagalkot,1. Female population age 6 years and above who ever attended school (%),67.3,62.1,,
Karnataka,KA,Bagalkot,2. Population below age 15 years (%),26.5,28.2,,
Karnataka,KA,Bagalkot,"3. Sex ratio of the total population (females per 1,000 males)",1007.0,963.0,,
Karnataka,KA,Bagalkot,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",879.0,799.0,,
Karnataka,KA,Bagalkot,5. Children under age 5 years whose birth was registered with the civil authority (%),97.8,93.8,,
Karnataka,KA,Bagalkot,6. Deaths in the last 3 years registered with the civil authority (%),76.8,,,
Karnataka,KA,Bagalkot,7. Population living in households with electricity (%),98.9,97.7,,
Karnataka,KA,Bagalkot,8. Population living in households with an improved drinking-water source1 (%),99.2,98.0,,
Karnataka,KA,Bagalkot,9. Population living in households that use an improved sanitation facility2 (%),51.3,23.0,,
Karnataka,KA,Bagalkot,10. Households using clean fuel for cooking3 (%),56.6,29.7,,
Karnataka,KA,Bagalkot,11. Households using iodized salt (%),81.3,84.6,,
Karnataka,KA,Bagalkot,12. Households with any usual member covered under a health insurance/financing scheme (%),22.3,37.2,,
Karnataka,KA,Bagalkot,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.1,,,
Karnataka,KA,Bagalkot,14. Women who are literate4 (%),69.7,,,
Karnataka,KA,Bagalkot,15. Women with 10 or more years of schooling (%),37.7,31.7,,
Karnataka,KA,Bagalkot,16. Women age 20-24 years married before age 18 years (%),38.7,32.2,,
Karnataka,KA,Bagalkot,17. Births in the 5 years preceding the survey that are third or higher order (%),2.0,3.1,,
Karnataka,KA,Bagalkot,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.9,12.3,,
Karnataka,KA,Bagalkot,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),65.9,62.1,,
Karnataka,KA,Bagalkot,20. Any method6 (%),65.3,54.9,,
Karnataka,KA,Bagalkot,21. Any modern method6 (%),65.3,54.9,,
Karnataka,KA,Bagalkot,22. Female sterilization (%),59.2,54.3,,
Karnataka,KA,Bagalkot,23. Male sterilization (%),0.0,0.0,,
Karnataka,KA,Bagalkot,24. IUD/PPIUD (%),2.2,0.1,,
Karnataka,KA,Bagalkot,25. Pill (%),2.2,0.3,,
Karnataka,KA,Bagalkot,26. Condom (%),1.2,0.0,,
Karnataka,KA,Bagalkot,27. Injectables (%),0.3,0.2,,
Karnataka,KA,Bagalkot,28. Total unmet need7 (%),5.8,8.5,,
Karnataka,KA,Bagalkot,29. Unmet need for spacing7 (%),4.0,5.4,,
Karnataka,KA,Bagalkot,30. Health worker ever talked to female non-users about family planning (%),15.8,17.5,,
Karnataka,KA,Bagalkot,31. Current users ever told about side effects of current method8 (%),51.1,21.6,,
Karnataka,KA,Bagalkot,32. Mothers who had an antenatal check-up in the first trimester (%),78.2,66.5,,
Karnataka,KA,Bagalkot,33. Mothers who had at least 4 antenatal care visits (%),76.2,79.7,,
Karnataka,KA,Bagalkot,34. Mothers whose last birth was protected against neonatal tetanus9 (%),94.2,94.1,,
Karnataka,KA,Bagalkot,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),32.3,45.1,,
Karnataka,KA,Bagalkot,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.2,23.8,,
Karnataka,KA,Bagalkot,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,86.8,,
Karnataka,KA,Bagalkot,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.0,46.8,,
Karnataka,KA,Bagalkot,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),4576.0,2249.0,,
Karnataka,KA,Bagalkot,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,Percentage not shown; based on fewer than 25 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
Karnataka,KA,Bagalkot,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.7,,,
Karnataka,KA,Bagalkot,42. Institutional births (%),95.2,91.6,,
Karnataka,KA,Bagalkot,43. Institutional births in public facility (%),57.1,56.3,,
