State,State-Code,District,Indicator,NFHS-5,NFHS-4
Kerala,KL,Alappuzha,1. Female population age 6 years and above who ever attended school (%),97.8,97.2
Kerala,KL,Alappuzha,2. Population below age 15 years (%),16.6,17.5
Kerala,KL,Alappuzha,"3. Sex ratio of the total population (females per 1,000 males)",1108.0,1101.0
Kerala,KL,Alappuzha,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1485.0,1112.0
Kerala,KL,Alappuzha,5. Children under age 5 years whose birth was registered with the civil authority (%),95.3,94.5
Kerala,KL,Alappuzha,6. Deaths in the last 3 years registered with the civil authority (%),100.0,
Kerala,KL,Alappuzha,7. Population living in households with electricity (%),99.9,99.6
Kerala,KL,Alappuzha,8. Population living in households with an improved drinking-water source1 (%),98.4,93.9
Kerala,KL,Alappuzha,9. Population living in households that use an improved sanitation facility2 (%),99.2,97.2
Kerala,KL,Alappuzha,10. Households using clean fuel for cooking3 (%),79.2,64.2
Kerala,KL,Alappuzha,11. Households using iodized salt (%),99.9,98.2
Kerala,KL,Alappuzha,12. Households with any usual member covered under a health insurance/financing scheme (%),60.4,56.0
Kerala,KL,Alappuzha,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),46.8,
Kerala,KL,Alappuzha,14. Women who are literate4 (%),99.7,
Kerala,KL,Alappuzha,15. Women with 10 or more years of schooling (%),78.8,73.8
Kerala,KL,Alappuzha,16. Women age 20-24 years married before age 18 years (%),3.8,1.2
Kerala,KL,Alappuzha,17. Births in the 5 years preceding the survey that are third or higher order (%),0.6,0.0
Kerala,KL,Alappuzha,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,2.1
Kerala,KL,Alappuzha,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),93.1,84.2
Kerala,KL,Alappuzha,20. Any method6 (%),61.5,45.1
Kerala,KL,Alappuzha,21. Any modern method6 (%),56.9,42.7
Kerala,KL,Alappuzha,22. Female sterilization (%),49.6,36.5
Kerala,KL,Alappuzha,23. Male sterilization (%),0.6,0.2
Kerala,KL,Alappuzha,24. IUD/PPIUD (%),1.3,3.1
Kerala,KL,Alappuzha,25. Pill (%),0.2,0.3
Kerala,KL,Alappuzha,26. Condom (%),4.3,2.6
Kerala,KL,Alappuzha,27. Injectables (%),0.0,0.0
Kerala,KL,Alappuzha,28. Total unmet need7 (%),12.3,17.7
Kerala,KL,Alappuzha,29. Unmet need for spacing7 (%),6.0,7.2
Kerala,KL,Alappuzha,30. Health worker ever talked to female non-users about family planning (%),11.0,19.2
Kerala,KL,Alappuzha,31. Current users ever told about side effects of current method8 (%),40.9,50.2
Kerala,KL,Alappuzha,32. Mothers who had an antenatal check-up in the first trimester (%),85.1,92.4
Kerala,KL,Alappuzha,33. Mothers who had at least 4 antenatal care visits (%),65.7,79.6
Kerala,KL,Alappuzha,34. Mothers whose last birth was protected against neonatal tetanus9 (%),87.5,90.9
Kerala,KL,Alappuzha,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),61.0,54.3
Kerala,KL,Alappuzha,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),52.0,43.1
Kerala,KL,Alappuzha,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4,87.5
Kerala,KL,Alappuzha,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.2,78.7
Kerala,KL,Alappuzha,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),10557.0,9472.0
Kerala,KL,Alappuzha,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,
Kerala,KL,Alappuzha,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,
Kerala,KL,Alappuzha,42. Institutional births (%),99.4,99.0
Kerala,KL,Alappuzha,43. Institutional births in public facility (%),49.0,44.1
Kerala,KL,Alappuzha,44. Home births that were conducted by skilled health personnel10 (%),0.6,0.0
Kerala,KL,Alappuzha,45. Births attended by skilled health personnel10 (%),100.0,99.0
Kerala,KL,Alappuzha,46. Births delivered by caesarean section (%),47.8,43.2
Kerala,KL,Alappuzha,47. Births in a private health facility that were delivered by caesarean section (%),53.8,49.9
Kerala,KL,Alappuzha,48. Births in a public health facility that were delivered by caesarean section (%),42.2,35.9
Kerala,KL,Alappuzha,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),61.9,
Kerala,KL,Alappuzha,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),,
Kerala,KL,Alappuzha,51. Children age 12-23 months who have received BCG (%),96.9,
Kerala,KL,Alappuzha,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),79.3,
Kerala,KL,Alappuzha,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),76.8,
Kerala,KL,Alappuzha,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.3,
Kerala,KL,Alappuzha,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.2,
Kerala,KL,Alappuzha,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),8.7,
Kerala,KL,Alappuzha,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.8,
Kerala,KL,Alappuzha,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),92.1,86.4
Kerala,KL,Alappuzha,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,
Kerala,KL,Alappuzha,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,
Kerala,KL,Alappuzha,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,3.8
Kerala,KL,Alappuzha,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,
Kerala,KL,Alappuzha,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,
Kerala,KL,Alappuzha,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Kerala,KL,Alappuzha,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,1.4
Kerala,KL,Alappuzha,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),79.9,88.4
Kerala,KL,Alappuzha,67. Children under age 3 years breastfed within one hour of birth15 (%),62.1,60.2
Kerala,KL,Alappuzha,68. Children under age 6 months exclusively breastfed16 (%),,
Kerala,KL,Alappuzha,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Kerala,KL,Alappuzha,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",17.2,5.4
Kerala,KL,Alappuzha,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,
Kerala,KL,Alappuzha,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",17.9,5.0
