State,State-Code,District,Indicator,NFHS-5,NFHS-4
Ladakh,LH,Kargil,1. Female population age 6 years and above who ever attended school (%),69.6,64.3
Ladakh,LH,Kargil,2. Population below age 15 years (%),24.5,32.1
Ladakh,LH,Kargil,"3. Sex ratio of the total population (females per 1,000 males)",975.0,970.0
Ladakh,LH,Kargil,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1336.0,818.0
Ladakh,LH,Kargil,5. Children under age 5 years whose birth was registered with the civil authority (%),98.5,73.6
Ladakh,LH,Kargil,6. Deaths in the last 3 years registered with the civil authority (%),71.6,
Ladakh,LH,Kargil,7. Population living in households with electricity (%),99.1,97.6
Ladakh,LH,Kargil,8. Population living in households with an improved drinking-water source1 (%),90.2,88.2
Ladakh,LH,Kargil,9. Population living in households that use an improved sanitation facility2 (%),42.3,17.9
Ladakh,LH,Kargil,10. Households using clean fuel for cooking3 (%),58.1,43.8
Ladakh,LH,Kargil,11. Households using iodized salt (%),98.6,98.2
Ladakh,LH,Kargil,12. Households with any usual member covered under a health insurance/financing scheme (%),13.6,1.9
Ladakh,LH,Kargil,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,
Ladakh,LH,Kargil,14. Women who are literate4 (%),77.2,
Ladakh,LH,Kargil,15. Women with 10 or more years of schooling (%),50.3,42.8
Ladakh,LH,Kargil,16. Women age 20-24 years married before age 18 years (%),2.5,4.6
Ladakh,LH,Kargil,17. Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.3
Ladakh,LH,Kargil,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,0.6
Ladakh,LH,Kargil,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),74.4,50.0
Ladakh,LH,Kargil,20. Any method6 (%),46.9,62.9
Ladakh,LH,Kargil,21. Any modern method6 (%),41.6,59.3
Ladakh,LH,Kargil,22. Female sterilization (%),14.1,19.9
Ladakh,LH,Kargil,23. Male sterilization (%),0.3,0.1
Ladakh,LH,Kargil,24. IUD/PPIUD (%),5.7,25.4
Ladakh,LH,Kargil,25. Pill (%),6.6,4.6
Ladakh,LH,Kargil,26. Condom (%),8.6,6.9
Ladakh,LH,Kargil,27. Injectables (%),5.1,2.0
Ladakh,LH,Kargil,28. Total unmet need7 (%),8.8,8.9
Ladakh,LH,Kargil,29. Unmet need for spacing7 (%),4.9,5.4
Ladakh,LH,Kargil,30. Health worker ever talked to female non-users about family planning (%),9.1,7.2
Ladakh,LH,Kargil,31. Current users ever told about side effects of current method8 (%),55.4,25.3
Ladakh,LH,Kargil,32. Mothers who had an antenatal check-up in the first trimester (%),91.0,82.0
Ladakh,LH,Kargil,33. Mothers who had at least 4 antenatal care visits (%),88.0,83.6
Ladakh,LH,Kargil,34. Mothers whose last birth was protected against neonatal tetanus9 (%),93.5,92.1
Ladakh,LH,Kargil,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),19.6,28.6
Ladakh,LH,Kargil,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.5,6.3
Ladakh,LH,Kargil,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.1,89.0
Ladakh,LH,Kargil,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Ladakh,LH,Kargil,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3569.0,2323.0
Ladakh,LH,Kargil,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,0.0
Ladakh,LH,Kargil,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Ladakh,LH,Kargil,42. Institutional births (%),93.7,85.7
Ladakh,LH,Kargil,43. Institutional births in public facility (%),93.7,84.2
Ladakh,LH,Kargil,44. Home births that were conducted by skilled health personnel10 (%),2.6,3.3
Ladakh,LH,Kargil,45. Births attended by skilled health personnel10 (%),95.6,86.6
Ladakh,LH,Kargil,46. Births delivered by caesarean section (%),32.0,11.1
Ladakh,LH,Kargil,47. Births in a private health facility that were delivered by caesarean section (%),,
Ladakh,LH,Kargil,48. Births in a public health facility that were delivered by caesarean section (%),34.2,12.0
Ladakh,LH,Kargil,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Ladakh,LH,Kargil,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),100.0,92.5
Ladakh,LH,Kargil,51. Children age 12-23 months who have received BCG (%),100.0,98.9
Ladakh,LH,Kargil,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),87.5,86.5
Ladakh,LH,Kargil,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),100.0,89.7
Ladakh,LH,Kargil,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),97.4,92.9
Ladakh,LH,Kargil,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.0,
Ladakh,LH,Kargil,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),7.7,
Ladakh,LH,Kargil,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),100.0,79.4
Ladakh,LH,Kargil,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),85.0,69.0
Ladakh,LH,Kargil,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
Ladakh,LH,Kargil,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
Ladakh,LH,Kargil,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,4.1
Ladakh,LH,Kargil,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,
Ladakh,LH,Kargil,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,
Ladakh,LH,Kargil,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Ladakh,LH,Kargil,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,1.5
Ladakh,LH,Kargil,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Ladakh,LH,Kargil,67. Children under age 3 years breastfed within one hour of birth15 (%),71.0,54.0
Ladakh,LH,Kargil,68. Children under age 6 months exclusively breastfed16 (%),80.4,54.5
Ladakh,LH,Kargil,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Ladakh,LH,Kargil,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",18.2,19.6
Ladakh,LH,Kargil,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,
Ladakh,LH,Kargil,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",18.5,21.4
Ladakh,LH,Kargil,73. Children under 5 years who are stunted (height-for-age)18 (%),36.5,39.6
Ladakh,LH,Kargil,74. Children under 5 years who are wasted (weight-for-height)18 (%),17.7,6.8
Ladakh,LH,Kargil,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),10.5,3.1
Ladakh,LH,Kargil,76. Children under 5 years who are underweight (weight-for-age)18 (%),21.8,20.3
Ladakh,LH,Kargil,77. Children under 5 years who are overweight (weight-for-height)20 (%),14.0,4.0
Ladakh,LH,Kargil,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),3.5,15.6
Ladakh,LH,Kargil,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),26.3,13.6
Ladakh,LH,Kargil,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),88.0,
Ladakh,LH,Kargil,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),87.9,87.6
Ladakh,LH,Kargil,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),92.8,72.8
Ladakh,LH,Kargil,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),76.7,77.9
Ladakh,LH,Kargil,84. All women age 15-49 years who are anaemic22 (%),92.0,73.1
Ladakh,LH,Kargil,85. All women age 15-19 years who are anaemic22 (%),97.1,80.6
Ladakh,LH,Kargil,86. Blood sugar level - high (141-160 mg/dl)23 (%),3.2,
Ladakh,LH,Kargil,87. Blood sugar level - very high (>160 mg/dl)23 (%),2.8,
