State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Maharashtra,MH,Ahmednagar,1. Female population age 6 years and above who ever attended school (%),77.4,75.4,,
Maharashtra,MH,Ahmednagar,2. Population below age 15 years (%),23.0,25.8,,
Maharashtra,MH,Ahmednagar,"3. Sex ratio of the total population (females per 1,000 males)",967.0,905.0,,
Maharashtra,MH,Ahmednagar,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",845.0,843.0,,
Maharashtra,MH,Ahmednagar,5. Children under age 5 years whose birth was registered with the civil authority (%),99.3,93.4,,
Maharashtra,MH,Ahmednagar,6. Deaths in the last 3 years registered with the civil authority (%),85.7,,,
Maharashtra,MH,Ahmednagar,7. Population living in households with electricity (%),94.5,93.8,,
Maharashtra,MH,Ahmednagar,8. Population living in households with an improved drinking-water source1 (%),90.0,90.6,,
Maharashtra,MH,Ahmednagar,9. Population living in households that use an improved sanitation facility2 (%),79.5,52.8,,
Maharashtra,MH,Ahmednagar,10. Households using clean fuel for cooking3 (%),77.4,57.8,,
Maharashtra,MH,Ahmednagar,11. Households using iodized salt (%),95.5,94.9,,
Maharashtra,MH,Ahmednagar,12. Households with any usual member covered under a health insurance/financing scheme (%),12.0,10.0,,
Maharashtra,MH,Ahmednagar,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),21.6,,,
Maharashtra,MH,Ahmednagar,14. Women who are literate4 (%),86.2,,,
Maharashtra,MH,Ahmednagar,15. Women with 10 or more years of schooling (%),45.7,44.7,,
Maharashtra,MH,Ahmednagar,16. Women age 20-24 years married before age 18 years (%),26.9,39.0,,
Maharashtra,MH,Ahmednagar,17. Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.1,,
Maharashtra,MH,Ahmednagar,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.8,13.2,,
Maharashtra,MH,Ahmednagar,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),84.2,60.3,,
Maharashtra,MH,Ahmednagar,20. Any method6 (%),69.5,48.4,,
Maharashtra,MH,Ahmednagar,21. Any modern method6 (%),67.4,47.5,,
Maharashtra,MH,Ahmednagar,22. Female sterilization (%),56.6,40.3,,
Maharashtra,MH,Ahmednagar,23. Male sterilization (%),0.0,0.0,,
Maharashtra,MH,Ahmednagar,24. IUD/PPIUD (%),1.7,2.1,,
Maharashtra,MH,Ahmednagar,25. Pill (%),1.0,1.5,,
Maharashtra,MH,Ahmednagar,26. Condom (%),8.0,3.4,,
Maharashtra,MH,Ahmednagar,27. Injectables (%),0.0,0.0,,
Maharashtra,MH,Ahmednagar,28. Total unmet need7 (%),8.3,12.1,,
Maharashtra,MH,Ahmednagar,29. Unmet need for spacing7 (%),2.6,4.0,,
Maharashtra,MH,Ahmednagar,30. Health worker ever talked to female non-users about family planning (%),19.5,18.1,,
Maharashtra,MH,Ahmednagar,31. Current users ever told about side effects of current method8 (%),31.7,50.0,,
Maharashtra,MH,Ahmednagar,32. Mothers who had an antenatal check-up in the first trimester (%),71.4,59.1,,
Maharashtra,MH,Ahmednagar,33. Mothers who had at least 4 antenatal care visits (%),76.6,63.1,,
Maharashtra,MH,Ahmednagar,34. Mothers whose last birth was protected against neonatal tetanus9 (%),91.2,87.0,,
Maharashtra,MH,Ahmednagar,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.3,22.4,,
Maharashtra,MH,Ahmednagar,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.0,5.8,,
Maharashtra,MH,Ahmednagar,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.4,90.9,,
