State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
Manipur,MN,Bishnupur,1. Female population age 6 years and above who ever attended school (%),81.5,79.9,,
Manipur,MN,Bishnupur,2. Population below age 15 years (%),26.4,27.7,,
Manipur,MN,Bishnupur,"3. Sex ratio of the total population (females per 1,000 males)",1094.0,1032.0,,
Manipur,MN,Bishnupur,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",945.0,915.0,,
Manipur,MN,Bishnupur,5. Children under age 5 years whose birth was registered with the civil authority (%),83.6,69.3,,
Manipur,MN,Bishnupur,6. Deaths in the last 3 years registered with the civil authority (%),24.4,,,
Manipur,MN,Bishnupur,7. Population living in households with electricity (%),98.6,96.3,,
Manipur,MN,Bishnupur,8. Population living in households with an improved drinking-water source1 (%),77.7,64.0,,
Manipur,MN,Bishnupur,9. Population living in households that use an improved sanitation facility2 (%),52.6,40.2,,
Manipur,MN,Bishnupur,10. Households using clean fuel for cooking3 (%),71.3,38.8,,
Manipur,MN,Bishnupur,11. Households using iodized salt (%),99.4,99.8,,
Manipur,MN,Bishnupur,12. Households with any usual member covered under a health insurance/financing scheme (%),9.3,4.2,,
Manipur,MN,Bishnupur,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),28.6,,,
Manipur,MN,Bishnupur,14. Women who are literate4 (%),88.4,,,
Manipur,MN,Bishnupur,15. Women with 10 or more years of schooling (%),48.7,42.9,,
Manipur,MN,Bishnupur,16. Women age 20-24 years married before age 18 years (%),20.9,14.7,,
Manipur,MN,Bishnupur,17. Births in the 5 years preceding the survey that are third or higher order (%),1.0,0.4,,
Manipur,MN,Bishnupur,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.1,9.1,,
Manipur,MN,Bishnupur,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),80.1,76.0,,
Manipur,MN,Bishnupur,20. Any method6 (%),46.3,32.7,,
Manipur,MN,Bishnupur,21. Any modern method6 (%),21.6,17.5,,
Manipur,MN,Bishnupur,22. Female sterilization (%),5.3,4.3,,
Manipur,MN,Bishnupur,23. Male sterilization (%),0.1,0.2,,
Manipur,MN,Bishnupur,24. IUD/PPIUD (%),3.9,4.0,,
Manipur,MN,Bishnupur,25. Pill (%),8.2,7.9,,
Manipur,MN,Bishnupur,26. Condom (%),3.7,0.9,,
Manipur,MN,Bishnupur,27. Injectables (%),0.2,0.1,,
Manipur,MN,Bishnupur,28. Total unmet need7 (%),20.0,27.5,,
