State,State-Code,District,Indicator,NFHS-5,NFHS-4
Mizoram,MZ,Aizawl,1. Female population age 6 years and above who ever attended school (%),97.8,95.9
Mizoram,MZ,Aizawl,2. Population below age 15 years (%),25.1,27.6
Mizoram,MZ,Aizawl,"3. Sex ratio of the total population (females per 1,000 males)",1052.0,1064.0
Mizoram,MZ,Aizawl,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1042.0,902.0
Mizoram,MZ,Aizawl,5. Children under age 5 years whose birth was registered with the civil authority (%),99.3,96.9
Mizoram,MZ,Aizawl,6. Deaths in the last 3 years registered with the civil authority (%),86.2,
Mizoram,MZ,Aizawl,7. Population living in households with electricity (%),99.7,99.8
Mizoram,MZ,Aizawl,8. Population living in households with an improved drinking-water source1 (%),98.3,97.1
Mizoram,MZ,Aizawl,9. Population living in households that use an improved sanitation facility2 (%),96.1,92.3
Mizoram,MZ,Aizawl,10. Households using clean fuel for cooking3 (%),95.4,87.5
Mizoram,MZ,Aizawl,11. Households using iodized salt (%),99.2,98.8
Mizoram,MZ,Aizawl,12. Households with any usual member covered under a health insurance/financing scheme (%),37.5,38.1
Mizoram,MZ,Aizawl,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.7,
Mizoram,MZ,Aizawl,14. Women who are literate4 (%),98.9,
Mizoram,MZ,Aizawl,15. Women with 10 or more years of schooling (%),60.7,50.7
Mizoram,MZ,Aizawl,16. Women age 20-24 years married before age 18 years (%),3.2,5.7
Mizoram,MZ,Aizawl,17. Births in the 5 years preceding the survey that are third or higher order (%),0.9,1.1
Mizoram,MZ,Aizawl,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.0,6.9
Mizoram,MZ,Aizawl,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),92.7,97.0
Mizoram,MZ,Aizawl,20. Any method6 (%),21.6,40.9
Mizoram,MZ,Aizawl,21. Any modern method6 (%),21.0,40.9
Mizoram,MZ,Aizawl,22. Female sterilization (%),6.9,20.4
Mizoram,MZ,Aizawl,23. Male sterilization (%),0.0,0.0
Mizoram,MZ,Aizawl,24. IUD/PPIUD (%),2.8,3.6
Mizoram,MZ,Aizawl,25. Pill (%),9.7,15.0
Mizoram,MZ,Aizawl,26. Condom (%),1.6,1.9
Mizoram,MZ,Aizawl,27. Injectables (%),0.0,0.0
Mizoram,MZ,Aizawl,28. Total unmet need7 (%),24.0,18.5
Mizoram,MZ,Aizawl,29. Unmet need for spacing7 (%),14.0,10.1
Mizoram,MZ,Aizawl,30. Health worker ever talked to female non-users about family planning (%),12.0,11.7
Mizoram,MZ,Aizawl,31. Current users ever told about side effects of current method8 (%),44.4,49.2
Mizoram,MZ,Aizawl,32. Mothers who had an antenatal check-up in the first trimester (%),82.8,74.8
Mizoram,MZ,Aizawl,33. Mothers who had at least 4 antenatal care visits (%),68.5,76.6
Mizoram,MZ,Aizawl,34. Mothers whose last birth was protected against neonatal tetanus9 (%),82.3,89.1
Mizoram,MZ,Aizawl,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.5,59.8
Mizoram,MZ,Aizawl,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.1,3.4
Mizoram,MZ,Aizawl,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.1,97.0
Mizoram,MZ,Aizawl,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Mizoram,MZ,Aizawl,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),9812.0,5087.0
Mizoram,MZ,Aizawl,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,
Mizoram,MZ,Aizawl,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Mizoram,MZ,Aizawl,42. Institutional births (%),97.4,96.2
Mizoram,MZ,Aizawl,43. Institutional births in public facility (%),76.3,67.5
Mizoram,MZ,Aizawl,44. Home births that were conducted by skilled health personnel10 (%),0.3,1.4
Mizoram,MZ,Aizawl,45. Births attended by skilled health personnel10 (%),97.8,97.7
Mizoram,MZ,Aizawl,46. Births delivered by caesarean section (%),18.2,20.7
Mizoram,MZ,Aizawl,47. Births in a private health facility that were delivered by caesarean section (%),34.6,30.5
Mizoram,MZ,Aizawl,48. Births in a public health facility that were delivered by caesarean section (%),14.2,17.7
Mizoram,MZ,Aizawl,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Mizoram,MZ,Aizawl,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),76.3,74.1
Mizoram,MZ,Aizawl,51. Children age 12-23 months who have received BCG (%),81.6,82.8
Mizoram,MZ,Aizawl,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),68.7,66.3
Mizoram,MZ,Aizawl,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.4,65.0
Mizoram,MZ,Aizawl,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),77.9,60.4
Mizoram,MZ,Aizawl,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),28.6,
Mizoram,MZ,Aizawl,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),16.6,
Mizoram,MZ,Aizawl,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),71.4,60.2
Mizoram,MZ,Aizawl,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),71.1,75.5
Mizoram,MZ,Aizawl,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.7,85.2
Mizoram,MZ,Aizawl,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.3,14.9
Mizoram,MZ,Aizawl,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.1,10.2
Mizoram,MZ,Aizawl,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,76.5
Mizoram,MZ,Aizawl,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,31.6
Mizoram,MZ,Aizawl,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,49.1
Mizoram,MZ,Aizawl,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,4.0
Mizoram,MZ,Aizawl,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Mizoram,MZ,Aizawl,67. Children under age 3 years breastfed within one hour of birth15 (%),58.5,68.0
Mizoram,MZ,Aizawl,68. Children under age 6 months exclusively breastfed16 (%),,59.7
Mizoram,MZ,Aizawl,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Mizoram,MZ,Aizawl,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",17.0,16.6
Mizoram,MZ,Aizawl,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,
Mizoram,MZ,Aizawl,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",17.9,17.2
Mizoram,MZ,Aizawl,73. Children under 5 years who are stunted (height-for-age)18 (%),25.3,23.7
Mizoram,MZ,Aizawl,74. Children under 5 years who are wasted (weight-for-height)18 (%),7.3,2.3
Mizoram,MZ,Aizawl,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),2.4,0.8
Mizoram,MZ,Aizawl,76. Children under 5 years who are underweight (weight-for-age)18 (%),9.6,6.7
Mizoram,MZ,Aizawl,77. Children under 5 years who are overweight (weight-for-height)20 (%),12.3,5.6
Mizoram,MZ,Aizawl,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),3.8,7.0
