State,State-Code,District,Indicator,NFHS-5,NFHS-4
Nagaland,NL,Dimapur,1. Female population age 6 years and above who ever attended school (%),89.8,83.7
Nagaland,NL,Dimapur,2. Population below age 15 years (%),24.5,30.7
Nagaland,NL,Dimapur,"3. Sex ratio of the total population (females per 1,000 males)",1010.0,1033.0
Nagaland,NL,Dimapur,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",911.0,1046.0
Nagaland,NL,Dimapur,5. Children under age 5 years whose birth was registered with the civil authority (%),80.2,72.7
Nagaland,NL,Dimapur,6. Deaths in the last 3 years registered with the civil authority (%),61.6,
Nagaland,NL,Dimapur,7. Population living in households with electricity (%),99.8,98.4
Nagaland,NL,Dimapur,8. Population living in households with an improved drinking-water source1 (%),92.4,79.1
Nagaland,NL,Dimapur,9. Population living in households that use an improved sanitation facility2 (%),81.1,68.3
Nagaland,NL,Dimapur,10. Households using clean fuel for cooking3 (%),84.2,66.7
Nagaland,NL,Dimapur,11. Households using iodized salt (%),98.7,99.8
Nagaland,NL,Dimapur,12. Households with any usual member covered under a health insurance/financing scheme (%),5.7,4.6
Nagaland,NL,Dimapur,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.3,
Nagaland,NL,Dimapur,14. Women who are literate4 (%),86.6,
Nagaland,NL,Dimapur,15. Women with 10 or more years of schooling (%),52.5,40.7
Nagaland,NL,Dimapur,16. Women age 20-24 years married before age 18 years (%),4.4,19.4
Nagaland,NL,Dimapur,17. Births in the 5 years preceding the survey that are third or higher order (%),3.0,2.5
Nagaland,NL,Dimapur,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,7.8
Nagaland,NL,Dimapur,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),84.9,76.6
Nagaland,NL,Dimapur,20. Any method6 (%),46.9,27.4
Nagaland,NL,Dimapur,21. Any modern method6 (%),38.4,20.8
Nagaland,NL,Dimapur,22. Female sterilization (%),15.7,5.4
Nagaland,NL,Dimapur,23. Male sterilization (%),0.0,0.0
Nagaland,NL,Dimapur,24. IUD/PPIUD (%),9.6,2.7
Nagaland,NL,Dimapur,25. Pill (%),9.1,10.1
Nagaland,NL,Dimapur,26. Condom (%),3.4,2.5
Nagaland,NL,Dimapur,27. Injectables (%),0.0,0.1
Nagaland,NL,Dimapur,28. Total unmet need7 (%),14.3,24.2
Nagaland,NL,Dimapur,29. Unmet need for spacing7 (%),5.8,9.8
Nagaland,NL,Dimapur,30. Health worker ever talked to female non-users about family planning (%),7.3,6.8
Nagaland,NL,Dimapur,31. Current users ever told about side effects of current method8 (%),36.7,28.6
Nagaland,NL,Dimapur,32. Mothers who had an antenatal check-up in the first trimester (%),71.4,34.4
Nagaland,NL,Dimapur,33. Mothers who had at least 4 antenatal care visits (%),50.1,26.5
Nagaland,NL,Dimapur,34. Mothers whose last birth was protected against neonatal tetanus9 (%),86.4,76.9
Nagaland,NL,Dimapur,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),14.9,7.6
Nagaland,NL,Dimapur,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.3,4.3
Nagaland,NL,Dimapur,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),82.3,64.3
Nagaland,NL,Dimapur,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Nagaland,NL,Dimapur,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),7330.0,7468.0
Nagaland,NL,Dimapur,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
Nagaland,NL,Dimapur,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Nagaland,NL,Dimapur,42. Institutional births (%),73.7,56.3
Nagaland,NL,Dimapur,43. Institutional births in public facility (%),43.2,32.5
Nagaland,NL,Dimapur,44. Home births that were conducted by skilled health personnel10 (%),9.4,5.5
Nagaland,NL,Dimapur,45. Births attended by skilled health personnel10 (%),80.7,61.3
Nagaland,NL,Dimapur,46. Births delivered by caesarean section (%),14.6,12.5
Nagaland,NL,Dimapur,47. Births in a private health facility that were delivered by caesarean section (%),28.1,31.0
Nagaland,NL,Dimapur,48. Births in a public health facility that were delivered by caesarean section (%),14.1,15.6
Nagaland,NL,Dimapur,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Nagaland,NL,Dimapur,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),63.8,66.0
Nagaland,NL,Dimapur,51. Children age 12-23 months who have received BCG (%),85.1,63.3
Nagaland,NL,Dimapur,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),61.3,59.2
Nagaland,NL,Dimapur,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),73.2,54.6
Nagaland,NL,Dimapur,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),74.6,47.4
Nagaland,NL,Dimapur,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),13.1,
Nagaland,NL,Dimapur,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),7.2,
Nagaland,NL,Dimapur,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),71.1,43.5
Nagaland,NL,Dimapur,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),49.4,36.7
Nagaland,NL,Dimapur,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),85.5,72.3
Nagaland,NL,Dimapur,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),14.5,26.6
Nagaland,NL,Dimapur,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2,8.8
Nagaland,NL,Dimapur,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,46.2
Nagaland,NL,Dimapur,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,14.0
Nagaland,NL,Dimapur,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,29.9
Nagaland,NL,Dimapur,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,3.6
Nagaland,NL,Dimapur,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Nagaland,NL,Dimapur,67. Children under age 3 years breastfed within one hour of birth15 (%),53.1,45.1
Nagaland,NL,Dimapur,68. Children under age 6 months exclusively breastfed16 (%),,35.8
Nagaland,NL,Dimapur,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,75.7
Nagaland,NL,Dimapur,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",11.2,16.1
Nagaland,NL,Dimapur,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",22.6,35.9
Nagaland,NL,Dimapur,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",17.3,21.9
Nagaland,NL,Dimapur,73. Children under 5 years who are stunted (height-for-age)18 (%),28.3,21.3
Nagaland,NL,Dimapur,74. Children under 5 years who are wasted (weight-for-height)18 (%),25.0,8.1
Nagaland,NL,Dimapur,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),12.0,3.1
Nagaland,NL,Dimapur,76. Children under 5 years who are underweight (weight-for-age)18 (%),29.8,14.9
Nagaland,NL,Dimapur,77. Children under 5 years who are overweight (weight-for-height)20 (%),3.8,2.6
Nagaland,NL,Dimapur,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),9.6,13.7
Nagaland,NL,Dimapur,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),21.1,22.6
Nagaland,NL,Dimapur,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),59.9,
Nagaland,NL,Dimapur,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),48.9,15.2
Nagaland,NL,Dimapur,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),34.8,24.9
Nagaland,NL,Dimapur,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),32.9,30.1
Nagaland,NL,Dimapur,84. All women age 15-49 years who are anaemic22 (%),34.7,25.2
Nagaland,NL,Dimapur,85. All women age 15-19 years who are anaemic22 (%),36.7,24.7
Nagaland,NL,Dimapur,86. Blood sugar level - high (141-160 mg/dl)23 (%),6.8,
Nagaland,NL,Dimapur,87. Blood sugar level - very high (>160 mg/dl)23 (%),4.7,
Nagaland,NL,Dimapur,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),12.0,
Nagaland,NL,Dimapur,89. Blood sugar level - high (141-160 mg/dl)23 (%),5.6,
Nagaland,NL,Dimapur,90. Blood sugar level - very high (>160 mg/dl)23 (%),7.4,
Nagaland,NL,Dimapur,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.1,
Nagaland,NL,Dimapur,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.0,
Nagaland,NL,Dimapur,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2,
Nagaland,NL,Dimapur,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,
Nagaland,NL,Dimapur,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.0,
Nagaland,NL,Dimapur,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.9,
Nagaland,NL,Dimapur,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,
Nagaland,NL,Dimapur,98. Ever undergone a screening test for cervical cancer (%),0.2,
Nagaland,NL,Dimapur,99. Ever undergone a breast examination for breast cancer (%),0.0,
Nagaland,NL,Dimapur,100. Ever undergone an oral cavity examination for oral cancer (%),0.7,
Nagaland,NL,Dimapur,101. Women age 15 years and above who use any kind of tobacco (%),16.4,
Nagaland,NL,Dimapur,102. Men age 15 years and above who use any kind of tobacco (%),44.0,
Nagaland,NL,Dimapur,103. Women age 15 years and above who consume alcohol (%),1.7,
Nagaland,NL,Dimapur,104. Men age 15 years and above who consume alcohol (%),25.7,
Nagaland,NL,Kiphire,1. Female population age 6 years and above who ever attended school (%),77.4,78.3
Nagaland,NL,Kiphire,2. Population below age 15 years (%),32.4,37.5
Nagaland,NL,Kiphire,"3. Sex ratio of the total population (females per 1,000 males)",954.0,964.0
Nagaland,NL,Kiphire,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",871.0,1037.0
Nagaland,NL,Kiphire,5. Children under age 5 years whose birth was registered with the civil authority (%),72.3,69.8
Nagaland,NL,Kiphire,6. Deaths in the last 3 years registered with the civil authority (%),28.1,
Nagaland,NL,Kiphire,7. Population living in households with electricity (%),97.9,98.3
Nagaland,NL,Kiphire,8. Population living in households with an improved drinking-water source1 (%),90.9,86.4
Nagaland,NL,Kiphire,9. Population living in households that use an improved sanitation facility2 (%),83.1,80.4
Nagaland,NL,Kiphire,10. Households using clean fuel for cooking3 (%),16.4,11.1
Nagaland,NL,Kiphire,11. Households using iodized salt (%),99.7,99.3
Nagaland,NL,Kiphire,12. Households with any usual member covered under a health insurance/financing scheme (%),8.8,7.9
Nagaland,NL,Kiphire,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.5,
Nagaland,NL,Kiphire,14. Women who are literate4 (%),73.7,
Nagaland,NL,Kiphire,15. Women with 10 or more years of schooling (%),22.0,20.7
Nagaland,NL,Kiphire,16. Women age 20-24 years married before age 18 years (%),22.5,16.8
Nagaland,NL,Kiphire,17. Births in the 5 years preceding the survey that are third or higher order (%),2.4,5.1
Nagaland,NL,Kiphire,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.0,3.5
Nagaland,NL,Kiphire,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),69.1,64.0
Nagaland,NL,Kiphire,20. Any method6 (%),42.5,31.1
Nagaland,NL,Kiphire,21. Any modern method6 (%),32.7,24.2
Nagaland,NL,Kiphire,22. Female sterilization (%),5.8,11.2
Nagaland,NL,Kiphire,23. Male sterilization (%),0.0,0.0
Nagaland,NL,Kiphire,24. IUD/PPIUD (%),20.2,10.8
Nagaland,NL,Kiphire,25. Pill (%),3.8,0.4
Nagaland,NL,Kiphire,26. Condom (%),2.5,1.2
Nagaland,NL,Kiphire,27. Injectables (%),0.2,0.0
Nagaland,NL,Kiphire,28. Total unmet need7 (%),17.3,17.7
Nagaland,NL,Kiphire,29. Unmet need for spacing7 (%),10.2,11.1
Nagaland,NL,Kiphire,30. Health worker ever talked to female non-users about family planning (%),9.7,10.1
Nagaland,NL,Kiphire,31. Current users ever told about side effects of current method8 (%),66.1,56.7
Nagaland,NL,Kiphire,32. Mothers who had an antenatal check-up in the first trimester (%),27.2,14.1
Nagaland,NL,Kiphire,33. Mothers who had at least 4 antenatal care visits (%),5.8,2.0
Nagaland,NL,Kiphire,34. Mothers whose last birth was protected against neonatal tetanus9 (%),63.0,53.6
Nagaland,NL,Kiphire,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),1.6,1.4
Nagaland,NL,Kiphire,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),0.8,0.7
Nagaland,NL,Kiphire,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.4,72.6
Nagaland,NL,Kiphire,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Nagaland,NL,Kiphire,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),6288.0,3606.0
Nagaland,NL,Kiphire,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.1,0.0
Nagaland,NL,Kiphire,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),,
Nagaland,NL,Kiphire,42. Institutional births (%),34.8,24.7
Nagaland,NL,Kiphire,43. Institutional births in public facility (%),33.8,23.6
Nagaland,NL,Kiphire,44. Home births that were conducted by skilled health personnel10 (%),11.9,5.5
Nagaland,NL,Kiphire,45. Births attended by skilled health personnel10 (%),46.7,30.0
Nagaland,NL,Kiphire,46. Births delivered by caesarean section (%),2.1,1.6
Nagaland,NL,Kiphire,47. Births in a private health facility that were delivered by caesarean section (%),,
Nagaland,NL,Kiphire,48. Births in a public health facility that were delivered by caesarean section (%),5.1,4.8
Nagaland,NL,Kiphire,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,
Nagaland,NL,Kiphire,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),73.5,83.5
Nagaland,NL,Kiphire,51. Children age 12-23 months who have received BCG (%),82.1,65.7
Nagaland,NL,Kiphire,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),53.1,56.3
Nagaland,NL,Kiphire,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),60.2,44.5
Nagaland,NL,Kiphire,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),66.2,50.2
Nagaland,NL,Kiphire,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),21.4,
Nagaland,NL,Kiphire,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),9.8,
Nagaland,NL,Kiphire,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),49.3,38.9
Nagaland,NL,Kiphire,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),41.8,21.7
Nagaland,NL,Kiphire,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.3,100.0
Nagaland,NL,Kiphire,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.1,0.0
Nagaland,NL,Kiphire,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.9,8.3
Nagaland,NL,Kiphire,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,54.3
Nagaland,NL,Kiphire,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,11.0
Nagaland,NL,Kiphire,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,6.1
Nagaland,NL,Kiphire,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,1.0
Nagaland,NL,Kiphire,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,
Nagaland,NL,Kiphire,67. Children under age 3 years breastfed within one hour of birth15 (%),55.5,39.3
Nagaland,NL,Kiphire,68. Children under age 6 months exclusively breastfed16 (%),44.8,33.4
Nagaland,NL,Kiphire,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,
Nagaland,NL,Kiphire,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",13.9,21.7
Nagaland,NL,Kiphire,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",7.5,24.5
Nagaland,NL,Kiphire,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",12.0,22.7
Nagaland,NL,Kiphire,73. Children under 5 years who are stunted (height-for-age)18 (%),36.9,41.8
Nagaland,NL,Kiphire,74. Children under 5 years who are wasted (weight-for-height)18 (%),11.0,13.9
