State,State-Code,District,Indicator,NFHS-5,NFHS-4
Sikkim,SK,East District,1. Female population age 6 years and above who ever attended school (%),86.4,80.3
Sikkim,SK,East District,2. Population below age 15 years (%),19.3,23.0
Sikkim,SK,East District,"3. Sex ratio of the total population (females per 1,000 males)",1008.0,957.0
Sikkim,SK,East District,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1000.0,709.0
Sikkim,SK,East District,5. Children under age 5 years whose birth was registered with the civil authority (%),95.9,97.8
Sikkim,SK,East District,6. Deaths in the last 3 years registered with the civil authority (%),68.4,
Sikkim,SK,East District,7. Population living in households with electricity (%),99.4,99.0
Sikkim,SK,East District,8. Population living in households with an improved drinking-water source1 (%),93.6,98.3
Sikkim,SK,East District,9. Population living in households that use an improved sanitation facility2 (%),85.0,85.2
Sikkim,SK,East District,10. Households using clean fuel for cooking3 (%),87.6,70.7
Sikkim,SK,East District,11. Households using iodized salt (%),97.7,99.7
Sikkim,SK,East District,12. Households with any usual member covered under a health insurance/financing scheme (%),29.9,26.6
Sikkim,SK,East District,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),47.4,
Sikkim,SK,East District,14. Women who are literate4 (%),90.1,
Sikkim,SK,East District,15. Women with 10 or more years of schooling (%),53.2,43.4
Sikkim,SK,East District,16. Women age 20-24 years married before age 18 years (%),9.4,15.8
Sikkim,SK,East District,17. Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
Sikkim,SK,East District,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7,3.8
Sikkim,SK,East District,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),84.8,91.0
Sikkim,SK,East District,20. Any method6 (%),54.3,32.1
Sikkim,SK,East District,21. Any modern method6 (%),42.8,32.1
Sikkim,SK,East District,22. Female sterilization (%),14.7,12.7
Sikkim,SK,East District,23. Male sterilization (%),0.8,0.8
Sikkim,SK,East District,24. IUD/PPIUD (%),3.9,3.7
Sikkim,SK,East District,25. Pill (%),11.6,8.4
Sikkim,SK,East District,26. Condom (%),9.1,4.5
Sikkim,SK,East District,27. Injectables (%),1.6,2.1
Sikkim,SK,East District,28. Total unmet need7 (%),17.7,26.1
Sikkim,SK,East District,29. Unmet need for spacing7 (%),7.2,10.4
Sikkim,SK,East District,30. Health worker ever talked to female non-users about family planning (%),17.0,20.0
Sikkim,SK,East District,31. Current users ever told about side effects of current method8 (%),52.9,38.7
Sikkim,SK,East District,32. Mothers who had an antenatal check-up in the first trimester (%),53.4,69.1
Sikkim,SK,East District,33. Mothers who had at least 4 antenatal care visits (%),43.8,67.4
