State,State-Code,District,Indicator,NFHS-5,NFHS-4
Telangana,TG,Adilabad,1. Female population age 6 years and above who ever attended school (%),58.6,
Telangana,TG,Adilabad,2. Population below age 15 years (%),24.8,
Telangana,TG,Adilabad,"3. Sex ratio of the total population (females per 1,000 males)",992.0,
Telangana,TG,Adilabad,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",785.0,
Telangana,TG,Adilabad,5. Children under age 5 years whose birth was registered with the civil authority (%),83.9,
Telangana,TG,Adilabad,6. Deaths in the last 3 years registered with the civil authority (%),77.3,
Telangana,TG,Adilabad,7. Population living in households with electricity (%),99.2,
Telangana,TG,Adilabad,8. Population living in households with an improved drinking-water source1 (%),95.7,
Telangana,TG,Adilabad,9. Population living in households that use an improved sanitation facility2 (%),50.8,
Telangana,TG,Adilabad,10. Households using clean fuel for cooking3 (%),81.6,
Telangana,TG,Adilabad,11. Households using iodized salt (%),97.6,
Telangana,TG,Adilabad,12. Households with any usual member covered under a health insurance/financing scheme (%),63.6,
Telangana,TG,Adilabad,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.3,
Telangana,TG,Adilabad,14. Women who are literate4 (%),64.8,
Telangana,TG,Adilabad,15. Women with 10 or more years of schooling (%),41.0,
Telangana,TG,Adilabad,16. Women age 20-24 years married before age 18 years (%),21.4,
Telangana,TG,Adilabad,17. Births in the 5 years preceding the survey that are third or higher order (%),1.3,
Telangana,TG,Adilabad,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.8,
Telangana,TG,Adilabad,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),77.9,
Telangana,TG,Adilabad,20. Any method6 (%),54.3,
Telangana,TG,Adilabad,21. Any modern method6 (%),54.1,
Telangana,TG,Adilabad,22. Female sterilization (%),50.2,
Telangana,TG,Adilabad,23. Male sterilization (%),0.6,
Telangana,TG,Adilabad,24. IUD/PPIUD (%),0.0,
Telangana,TG,Adilabad,25. Pill (%),1.2,
Telangana,TG,Adilabad,26. Condom (%),1.5,
Telangana,TG,Adilabad,27. Injectables (%),0.0,
Telangana,TG,Adilabad,28. Total unmet need7 (%),10.1,
Telangana,TG,Adilabad,29. Unmet need for spacing7 (%),4.7,
Telangana,TG,Adilabad,30. Health worker ever talked to female non-users about family planning (%),12.0,
Telangana,TG,Adilabad,31. Current users ever told about side effects of current method8 (%),32.6,
Telangana,TG,Adilabad,32. Mothers who had an antenatal check-up in the first trimester (%),89.7,
Telangana,TG,Adilabad,33. Mothers who had at least 4 antenatal care visits (%),74.8,
Telangana,TG,Adilabad,34. Mothers whose last birth was protected against neonatal tetanus9 (%),90.9,
Telangana,TG,Adilabad,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.4,
Telangana,TG,Adilabad,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.8,
Telangana,TG,Adilabad,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.1,
Telangana,TG,Adilabad,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.4,
Telangana,TG,Adilabad,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),4105.0,
Telangana,TG,Adilabad,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,
Telangana,TG,Adilabad,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.3,
Telangana,TG,Adilabad,42. Institutional births (%),94.1,
Telangana,TG,Adilabad,43. Institutional births in public facility (%),66.8,
Telangana,TG,Adilabad,44. Home births that were conducted by skilled health personnel10 (%),1.8,
Telangana,TG,Adilabad,45. Births attended by skilled health personnel10 (%),93.9,
Telangana,TG,Adilabad,46. Births delivered by caesarean section (%),40.7,
Telangana,TG,Adilabad,47. Births in a private health facility that were delivered by caesarean section (%),74.1,
Telangana,TG,Adilabad,48. Births in a public health facility that were delivered by caesarean section (%),30.6,
Telangana,TG,Adilabad,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),69.3,
Telangana,TG,Adilabad,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),73.7,
Telangana,TG,Adilabad,51. Children age 12-23 months who have received BCG (%),91.6,
Telangana,TG,Adilabad,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),72.5,
Telangana,TG,Adilabad,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.9,
Telangana,TG,Adilabad,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.7,
Telangana,TG,Adilabad,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),43.7,
Telangana,TG,Adilabad,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),7.4,
Telangana,TG,Adilabad,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.9,
Telangana,TG,Adilabad,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),85.7,
Telangana,TG,Adilabad,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.9,
Telangana,TG,Adilabad,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.7,
