State,State-Code,District,Indicator,NFHS-5,NFHS-4,NFHS-5-note,NFHS-4-note
West Bengal,WB,Bankura,1. Female population age 6 years and above who ever attended school (%),68.7,67.1,,
West Bengal,WB,Bankura,2. Population below age 15 years (%),22.6,24.9,,
West Bengal,WB,Bankura,"3. Sex ratio of the total population (females per 1,000 males)",1053.0,1002.0,,
West Bengal,WB,Bankura,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1002.0,1145.0,,
West Bengal,WB,Bankura,5. Children under age 5 years whose birth was registered with the civil authority (%),95.6,97.5,,
West Bengal,WB,Bankura,6. Deaths in the last 3 years registered with the civil authority (%),64.8,,,
West Bengal,WB,Bankura,7. Population living in households with electricity (%),92.3,90.5,,
West Bengal,WB,Bankura,8. Population living in households with an improved drinking-water source1 (%),96.3,97.9,,
West Bengal,WB,Bankura,9. Population living in households that use an improved sanitation facility2 (%),49.2,32.0,,
West Bengal,WB,Bankura,10. Households using clean fuel for cooking3 (%),20.8,16.3,,
West Bengal,WB,Bankura,11. Households using iodized salt (%),86.8,88.8,,
West Bengal,WB,Bankura,12. Households with any usual member covered under a health insurance/financing scheme (%),43.4,48.6,,
West Bengal,WB,Bankura,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.1,,,
West Bengal,WB,Bankura,14. Women who are literate4 (%),68.3,,,
West Bengal,WB,Bankura,15. Women with 10 or more years of schooling (%),27.9,23.2,,
West Bengal,WB,Bankura,16. Women age 20-24 years married before age 18 years (%),45.7,39.0,,
West Bengal,WB,Bankura,17. Births in the 5 years preceding the survey that are third or higher order (%),0.4,0.7,,
West Bengal,WB,Bankura,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),16.0,16.6,,
West Bengal,WB,Bankura,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),79.0,47.8,,
West Bengal,WB,Bankura,20. Any method6 (%),56.7,76.3,,
West Bengal,WB,Bankura,21. Any modern method6 (%),51.9,69.0,,
West Bengal,WB,Bankura,22. Female sterilization (%),26.6,42.8,,
West Bengal,WB,Bankura,23. Male sterilization (%),0.0,0.0,,
West Bengal,WB,Bankura,24. IUD/PPIUD (%),1.4,0.0,,
West Bengal,WB,Bankura,25. Pill (%),19.8,22.9,,
West Bengal,WB,Bankura,26. Condom (%),3.7,3.2,,
West Bengal,WB,Bankura,27. Injectables (%),0.0,0.0,,
West Bengal,WB,Bankura,28. Total unmet need7 (%),12.0,5.7,,
West Bengal,WB,Bankura,29. Unmet need for spacing7 (%),4.7,2.7,,
West Bengal,WB,Bankura,30. Health worker ever talked to female non-users about family planning (%),12.4,16.5,,
West Bengal,WB,Bankura,31. Current users ever told about side effects of current method8 (%),43.6,50.3,,
West Bengal,WB,Bankura,32. Mothers who had an antenatal check-up in the first trimester (%),74.7,65.8,,
West Bengal,WB,Bankura,33. Mothers who had at least 4 antenatal care visits (%),75.7,89.5,,
West Bengal,WB,Bankura,34. Mothers whose last birth was protected against neonatal tetanus9 (%),89.5,96.1,,
West Bengal,WB,Bankura,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.5,46.7,,
West Bengal,WB,Bankura,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.3,16.2,,
West Bengal,WB,Bankura,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,97.6,,
West Bengal,WB,Bankura,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.2,61.8,,
West Bengal,WB,Bankura,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3274.0,4980.0,,
West Bengal,WB,Bankura,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,3.4,Percentage not shown; based on fewer than 25 unweighted cases,Based on 25-49 unweighted cases
West Bengal,WB,Bankura,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.5,,,
West Bengal,WB,Bankura,42. Institutional births (%),93.3,85.6,,
West Bengal,WB,Bankura,43. Institutional births in public facility (%),83.3,71.5,,
West Bengal,WB,Bankura,44. Home births that were conducted by skilled health personnel10 (%),4.7,3.1,,
West Bengal,WB,Bankura,45. Births attended by skilled health personnel10 (%),93.8,87.9,,
West Bengal,WB,Bankura,46. Births delivered by caesarean section (%),22.7,18.0,,
West Bengal,WB,Bankura,47. Births in a private health facility that were delivered by caesarean section (%),,58.8,Percentage not shown; based on fewer than 25 unweighted cases,Based on 25-49 unweighted cases
West Bengal,WB,Bankura,48. Births in a public health facility that were delivered by caesarean section (%),20.9,13.5,,
West Bengal,WB,Bankura,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),85.0,96.2,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),94.6,98.1,Based on 25-49 unweighted cases,Based on 25-49 unweighted cases
West Bengal,WB,Bankura,51. Children age 12-23 months who have received BCG (%),97.8,100.0,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),94.1,98.0,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.7,100.0,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.5,98.2,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.5,,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),6.4,,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.6,92.1,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),69.7,81.0,,
West Bengal,WB,Bankura,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0,Based on 25-49 unweighted cases,
West Bengal,WB,Bankura,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.7,5.1,,
West Bengal,WB,Bankura,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),87.3,,Based on 25-49 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
West Bengal,WB,Bankura,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),44.5,,Based on 25-49 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
West Bengal,WB,Bankura,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3,,Based on 25-49 unweighted cases,Percentage not shown; based on fewer than 25 unweighted cases
West Bengal,WB,Bankura,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3,2.9,,
West Bengal,WB,Bankura,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),71.1,85.5,,Based on 25-49 unweighted cases
West Bengal,WB,Bankura,67. Children under age 3 years breastfed within one hour of birth15 (%),47.6,54.1,,
